uid,name,longitude,latitude,free_bikes,empty_slots
109,109 - Metrô Siqueira Campos,-43.18733,-22.967553,1,27
159,159 - Hospital da Lagoa,-43.216168,-22.962706,5,10
37,352 - Gomes Carneiro,-43.197449,-22.986306,9,3
86,86 - Henrique Dumont,-43.213832,-22.986038,21,0
27,27 - Pedra do Leme,-43.165407,-22.962102,14,15
214,214 - Poeta Manuel Bandeira,-43.171988,-22.910231,1,21
212,212 - Buraco do Lume,-43.175917,-22.906208,2,12
213,213 - Praça do Expedicionário,-43.172874,-22.906758,2,21
344,351 - Constante Ramos,-43.18787,-22.97458,0,13
136,136 - Metrô Flamengo,-43.178053,-22.937276,1,12
5,5 - Largo da Carioca,-43.177804,-22.907568,2,15
346,330 - Praça da Apoteose,-43.19595,-22.91418,7,14
35,35 - Pedra do Arpoador,-43.191618,-22.988905,15,2
